;lat;lon;min_db;max_db
191;54.3477380990099;18.607031153846155;60.0;65.0
192;54.3477380990099;18.61472346153846;60.0;65.0
193;54.3477380990099;18.630108076923076;60.0;65.0
194;54.3477380990099;18.637800384615385;65.0;70.0
195;54.3477380990099;18.64549269230769;70.0;75.0
196;54.3477380990099;18.653185;60.0;65.0
197;54.3477380990099;18.660877307692306;65.0;70.0
198;54.3477380990099;18.668569615384616;55.0;60.0
199;54.3477380990099;18.676261923076922;55.0;60.0
200;54.3477380990099;18.68395423076923;70.0;75.0
201;54.3477380990099;18.691646538461537;55.0;60.0
202;54.3477380990099;18.699338846153847;55.0;60.0
203;54.3477380990099;18.707031153846152;60.0;65.0
204;54.3477380990099;18.722415769230768;55.0;60.0
205;54.3477380990099;18.776261923076923;55.0;60.0
206;54.343237648964895;18.52241576923077;80.0;200.0
207;54.343237648964895;18.530108076923078;60.0;65.0
208;54.343237648964895;18.537800384615384;55.0;60.0
209;54.343237648964895;18.545492692307693;55.0;60.0
210;54.343237648964895;18.568569615384614;55.0;60.0
211;54.343237648964895;18.607031153846155;55.0;60.0
212;54.343237648964895;18.61472346153846;60.0;65.0
213;54.343237648964895;18.630108076923076;60.0;65.0
214;54.343237648964895;18.64549269230769;80.0;200.0
215;54.343237648964895;18.653185;55.0;60.0
216;54.343237648964895;18.668569615384616;55.0;60.0
217;54.343237648964895;18.699338846153847;65.0;70.0
218;54.343237648964895;18.722415769230768;60.0;65.0
219;54.343237648964895;18.730108076923077;55.0;60.0
220;54.343237648964895;18.760877307692308;55.0;60.0
221;54.338737198919894;18.507031153846153;60.0;65.0
222;54.338737198919894;18.52241576923077;60.0;65.0
223;54.338737198919894;18.530108076923078;65.0;70.0
224;54.338737198919894;18.537800384615384;60.0;65.0
225;54.338737198919894;18.553185;55.0;60.0
226;54.338737198919894;18.56087730769231;65.0;70.0
227;54.338737198919894;18.576261923076924;55.0;60.0
228;54.338737198919894;18.59164653846154;55.0;60.0
229;54.338737198919894;18.599338846153845;65.0;70.0
230;54.338737198919894;18.607031153846155;65.0;70.0
231;54.338737198919894;18.61472346153846;60.0;65.0
232;54.338737198919894;18.62241576923077;55.0;60.0
233;54.338737198919894;18.637800384615385;60.0;65.0
234;54.338737198919894;18.668569615384616;55.0;60.0
235;54.338737198919894;18.68395423076923;55.0;60.0
236;54.338737198919894;18.699338846153847;55.0;60.0
237;54.338737198919894;18.707031153846152;55.0;60.0
238;54.338737198919894;18.714723461538462;60.0;65.0
239;54.334236748874886;18.537800384615384;65.0;70.0
240;54.334236748874886;18.56087730769231;65.0;70.0
241;54.334236748874886;18.568569615384614;55.0;60.0
242;54.334236748874886;18.576261923076924;65.0;70.0
243;54.334236748874886;18.58395423076923;55.0;60.0
244;54.334236748874886;18.59164653846154;55.0;60.0
245;54.334236748874886;18.599338846153845;55.0;60.0
246;54.334236748874886;18.630108076923076;65.0;70.0
247;54.334236748874886;18.637800384615385;70.0;75.0
248;54.334236748874886;18.653185;60.0;65.0
249;54.334236748874886;18.660877307692306;55.0;60.0
250;54.334236748874886;18.707031153846152;60.0;65.0
251;54.329736298829886;18.537800384615384;75.0;80.0
252;54.329736298829886;18.545492692307693;60.0;65.0
253;54.329736298829886;18.599338846153845;75.0;80.0
254;54.329736298829886;18.607031153846155;55.0;60.0
255;54.329736298829886;18.62241576923077;60.0;65.0
